Number,ROI_Name,Description
1,V1 ,Primary Visual Cortex 
2,MST ,Medial Superior Temporal Area 
3,V6 ,Sixth Visual Area 
4,V2 ,Second Visual Area 
5,V3 ,Third Visual Area 
6,V4 ,Fourth Visual Area 
7,V8 ,Eighth Visual Area 
8,4,Primary Motor Cortex 
9,3b ,Primary Sensory Cortex 
10,FEF ,Frontal Eye Fields 
11,PEF ,Premotor Eye Field 
12,55b ,Area 55b 
13,V3A ,Area V3A 
14,RSC ,RetroSplenial Complex 
15,POS2 ,Parieto-Occipital Sulcus Area 2 
16,V7 ,Seventh Visual Area 
17,IPS1 ,IntraParietal Sulcus Area 1 
18,FFC ,Fusiform Face Complex 
19,V3B ,Area V3B 
20,LO1 ,Area Lateral Occipital 1 
21,LO2 ,Area Lateral Occipital 2 
22,PIT ,Posterior InferoTemporal Complex
23,MT ,Middle Temporal Area 
24,A1 ,Primary Auditory Cortex 
25,PSL ,PeriSylvian Language Area 
26,SFL ,Superior Frontal Language Area 
27,PCV ,PreCuneus Visual Area 
28,STV ,Superior Temporal Visual Area 
29,7Pm ,Medial Area 7P 
30,7m ,Area 7m 
31,POS1 ,Parieto-Occipital Sulcus Area 1 
32,23d ,Area 23d 
33,v23ab ,Area ventral 23 a+b 
34,d23ab ,Area dorsal 23 a+b 
35,31pv ,Area 31p ventral 
36,5m ,Area 5m 
37,5mv ,Area 5m ventral 
38,23c ,Area 23c 
39,5L ,Area 5L 
40,24dd ,Dorsal Area 24d 
41,24dv ,Ventral Area 24d 
42,7AL ,Lateral Area 7A 
43,SCEF ,Supplementary and Cingulate Eye Field 
44,6ma ,Area 6m anterior 
45,7Am ,Medial Area 7A 
46,7Pl ,Lateral Area 7P 
47,7PC ,Area 7PC 
48,LIPv ,Area Lateral IntraParietal ventral 
49,VIP ,Ventral IntraParietal Complex 
50,MIP ,Medial IntraParietal Area 
51,1,Area 1 
52,2,Area 2 
53,3a ,Area 3a 
54,6d ,Dorsal area 6 
55,6mp ,Area 6mp 
56,6v ,Ventral Area 6 
57,p24pr ,Area Posterior 24 prime 
58,33pr ,Area 33 prime 
59,a24pr ,Anterior 24 prime 
60,p32pr ,Area p32 prime 
61,a24 ,Area a24 
62,d32 ,Area dorsal 32 
63,8BM ,Area 8BM 
64,p32 ,Area p32 
65,10r ,Area 10r 
66,47m ,Area 47m 
67,8Av ,Area 8Av 
68,8Ad ,Area 8Ad 
69,9m ,Area 9 Middle 
70,8BL ,Area 8B Lateral 
71,9p ,Area 9 Posterior 
