Frequency	Condition	Subject	Occip	RightOT
1	1	1	4.837227	4.837227
1	1	2	3.200776	3.200776
1	1	3	1.977388	1.977388
1	1	4	1.742528	1.742528
1	1	5	1.510745	1.510745
1	1	6	1.867674	1.867674
1	1	7	1.730931	1.730931
1	1	8	0.998530	0.998530
1	1	9	1.172994	1.172994
1	1	10	1.289921	1.289921
1	1	11	1.232780	1.232780
1	1	12	2.981512	2.981512
1	1	13	3.037398	3.037398
1	1	14	3.037085	3.037085
1	1	15	0.819208	0.819208
2	1	1	0.598261	0.598261
2	1	2	0.371424	0.371424
2	1	3	0.405151	0.405151
2	1	4	0.524146	0.524146
2	1	5	0.589069	0.589069
2	1	6	1.011820	1.011820
2	1	7	1.082070	1.082070
2	1	8	1.309492	1.309492
2	1	9	1.102935	1.102935
2	1	10	1.535014	1.535014
2	1	11	1.275361	1.275361
2	1	12	2.003559	2.003559
2	1	13	1.166429	1.166429
2	1	14	0.661037	0.661037
2	1	15	0.412623	0.412623
3	1	1	2.185093	2.185093
3	1	2	1.996385	1.996385
3	1	3	1.020688	1.020688
3	1	4	1.506467	1.506467
3	1	5	1.504825	1.504825
3	1	6	1.614453	1.614453
3	1	7	0.321936	0.321936
3	1	8	0.390654	0.390654
3	1	9	0.699923	0.699923
3	1	10	0.614631	0.614631
3	1	11	0.505334	0.505334
3	1	12	0.932506	0.932506
3	1	13	1.319056	1.319056
3	1	14	0.333243	0.333243
3	1	15	0.491296	0.491296
4	1	1	3.785237	3.785237
4	1	2	3.936211	3.936211
4	1	3	3.320843	3.320843
4	1	4	2.697135	2.697135
4	1	5	2.785350	2.785350
4	1	6	3.245290	3.245290
4	1	7	2.113464	2.113464
4	1	8	2.406236	2.406236
4	1	9	2.087032	2.087032
4	1	10	1.007419	1.007419
4	1	11	1.253662	1.253662
4	1	12	2.912752	2.912752
4	1	13	1.376486	1.376486
4	1	14	0.867643	0.867643
4	1	15	0.752665	0.752665
5	1	1	0.038975	0.038975
5	1	2	0.140087	0.140087
5	1	3	0.623498	0.623498
5	1	4	0.395866	0.395866
5	1	5	0.617320	0.617320
5	1	6	0.712504	0.712504
5	1	7	0.562660	0.562660
5	1	8	0.538310	0.538310
5	1	9	0.267575	0.267575
5	1	10	0.122861	0.122861
5	1	11	0.315125	0.315125
5	1	12	0.553569	0.553569
5	1	13	0.250509	0.250509
5	1	14	0.401761	0.401761
5	1	15	0.487338	0.487338
6	1	1	0.385198	0.385198
6	1	2	0.265947	0.265947
6	1	3	0.660327	0.660327
6	1	4	0.131313	0.131313
6	1	5	0.233299	0.233299
6	1	6	0.687277	0.687277
6	1	7	0.846357	0.846357
6	1	8	0.911996	0.911996
6	1	9	1.137976	1.137976
6	1	10	0.861283	0.861283
6	1	11	0.935760	0.935760
6	1	12	1.276943	1.276943
6	1	13	0.936838	0.936838
6	1	14	0.395449	0.395449
6	1	15	0.223161	0.223161
7	1	1	0.420388	0.420388
7	1	2	0.435789	0.435789
7	1	3	0.053253	0.053253
7	1	4	0.499531	0.499531
7	1	5	0.428581	0.428581
7	1	6	0.256099	0.256099
7	1	7	0.678880	0.678880
7	1	8	0.688071	0.688071
7	1	9	0.557461	0.557461
7	1	10	0.464628	0.464628
7	1	11	0.461199	0.461199
7	1	12	0.469572	0.469572
7	1	13	0.254064	0.254064
7	1	14	0.350967	0.350967
7	1	15	0.285040	0.285040
8	1	1	2.023385	2.023385
8	1	2	1.297586	1.297586
8	1	3	0.233618	0.233618
8	1	4	1.388995	1.388995
8	1	5	0.944805	0.944805
8	1	6	1.170902	1.170902
8	1	7	5.084602	5.084602
8	1	8	5.691436	5.691436
8	1	9	3.473582	3.473582
8	1	10	2.599304	2.599304
8	1	11	2.322976	2.322976
8	1	12	5.636474	5.636474
8	1	13	0.776948	0.776948
8	1	14	0.569635	0.569635
8	1	15	0.443973	0.443973
9	1	1	0.334209	0.334209
9	1	2	0.149040	0.149040
9	1	3	0.124652	0.124652
9	1	4	0.360646	0.360646
9	1	5	0.318349	0.318349
9	1	6	0.257422	0.257422
9	1	7	0.640168	0.640168
9	1	8	0.725862	0.725862
9	1	9	0.827818	0.827818
9	1	10	0.638976	0.638976
9	1	11	0.636997	0.636997
9	1	12	0.698890	0.698890
9	1	13	0.745767	0.745767
9	1	14	0.488833	0.488833
9	1	15	0.086536	0.086536
