Frequency	Condition	Subject	Occip	RightOT
1	1	1	0.124483	0.124483
1	1	2	0.158233	0.158233
1	1	3	0.146439	0.146439
1	1	4	0.192965	0.192965
1	1	5	0.207462	0.207462
1	1	6	0.268495	0.268495
1	1	7	0.204776	0.204776
1	1	8	0.428252	0.428252
1	1	9	0.421278	0.421278
1	1	10	0.113083	0.113083
1	1	11	0.344985	0.344985
1	1	12	0.348798	0.348798
1	1	13	0.326270	0.326270
1	1	14	0.487684	0.487684
1	1	15	1.792448	1.792448
2	1	1	0.431333	0.431333
2	1	2	0.254050	0.254050
2	1	3	0.139594	0.139594
2	1	4	0.385428	0.385428
2	1	5	0.159134	0.159134
2	1	6	0.128360	0.128360
2	1	7	0.344969	0.344969
2	1	8	0.340999	0.340999
2	1	9	0.306405	0.306405
2	1	10	0.306155	0.306155
2	1	11	0.268126	0.268126
2	1	12	0.361147	0.361147
2	1	13	0.420291	0.420291
2	1	14	0.608592	0.608592
2	1	15	0.907556	0.907556
3	1	1	0.134802	0.134802
3	1	2	0.233544	0.233544
3	1	3	0.314709	0.314709
3	1	4	0.112738	0.112738
3	1	5	0.249648	0.249648
3	1	6	0.387239	0.387239
3	1	7	0.421788	0.421788
3	1	8	0.367736	0.367736
3	1	9	0.256286	0.256286
3	1	10	0.534154	0.534154
3	1	11	0.468858	0.468858
3	1	12	0.287690	0.287690
3	1	13	0.270692	0.270692
3	1	14	0.117835	0.117835
3	1	15	0.055631	0.055631
4	1	1	0.788038	0.788038
4	1	2	0.362487	0.362487
4	1	3	0.434712	0.434712
4	1	4	0.568765	0.568765
4	1	5	0.359446	0.359446
4	1	6	0.436638	0.436638
4	1	7	2.499284	2.499284
4	1	8	2.222525	2.222525
4	1	9	1.547293	1.547293
4	1	10	2.664526	2.664526
4	1	11	2.414144	2.414144
4	1	12	1.474336	1.474336
4	1	13	2.844229	2.844229
4	1	14	2.395268	2.395268
4	1	15	2.017894	2.017894
5	1	1	0.045195	0.045195
5	1	2	0.031219	0.031219
5	1	3	0.045092	0.045092
5	1	4	0.016718	0.016718
5	1	5	0.059326	0.059326
5	1	6	0.064127	0.064127
5	1	7	0.173204	0.173204
5	1	8	0.203142	0.203142
5	1	9	0.184769	0.184769
5	1	10	0.166981	0.166981
5	1	11	0.210480	0.210480
5	1	12	0.240700	0.240700
5	1	13	0.171536	0.171536
5	1	14	0.180011	0.180011
5	1	15	0.074177	0.074177
6	1	1	0.254953	0.254953
6	1	2	0.257451	0.257451
6	1	3	0.220057	0.220057
6	1	4	0.302225	0.302225
6	1	5	0.248670	0.248670
6	1	6	0.223314	0.223314
6	1	7	0.086762	0.086762
6	1	8	0.030441	0.030441
6	1	9	0.092660	0.092660
6	1	10	0.035752	0.035752
6	1	11	0.052135	0.052135
6	1	12	0.063506	0.063506
6	1	13	0.199340	0.199340
6	1	14	0.154910	0.154910
6	1	15	0.202329	0.202329
7	1	1	0.136315	0.136315
7	1	2	0.057622	0.057622
7	1	3	0.054446	0.054446
7	1	4	0.078197	0.078197
7	1	5	0.062690	0.062690
7	1	6	0.031483	0.031483
7	1	7	0.092077	0.092077
7	1	8	0.067645	0.067645
7	1	9	0.095033	0.095033
7	1	10	0.037439	0.037439
7	1	11	0.063505	0.063505
7	1	12	0.081858	0.081858
7	1	13	0.033667	0.033667
7	1	14	0.044776	0.044776
7	1	15	0.144898	0.144898
8	1	1	1.940709	1.940709
8	1	2	1.420945	1.420945
8	1	3	1.157895	1.157895
8	1	4	1.443963	1.443963
8	1	5	1.381031	1.381031
8	1	6	1.095090	1.095090
8	1	7	1.395618	1.395618
8	1	8	1.289890	1.289890
8	1	9	1.190907	1.190907
8	1	10	0.474224	0.474224
8	1	11	0.626151	0.626151
8	1	12	1.566979	1.566979
8	1	13	0.691412	0.691412
8	1	14	0.603388	0.603388
8	1	15	0.637856	0.637856
9	1	1	0.146369	0.146369
9	1	2	0.138526	0.138526
9	1	3	0.197197	0.197197
9	1	4	0.149584	0.149584
9	1	5	0.177948	0.177948
9	1	6	0.182004	0.182004
9	1	7	0.038766	0.038766
9	1	8	0.024005	0.024005
9	1	9	0.046288	0.046288
9	1	10	0.022554	0.022554
9	1	11	0.062034	0.062034
9	1	12	0.046986	0.046986
9	1	13	0.092894	0.092894
9	1	14	0.068863	0.068863
9	1	15	0.059066	0.059066
