Frequency	Condition	Subject	Occip	RightOT
1	1	1	4.467423	4.467423
1	1	2	1.652169	1.652169
1	1	3	2.461582	2.461582
1	1	4	0.905439	0.905439
1	1	5	1.670437	1.670437
1	1	6	3.749193	3.749193
1	1	7	4.930142	4.930142
1	1	8	13.837543	13.837543
1	1	9	6.813985	6.813985
1	1	10	16.417421	16.417421
1	1	11	10.125110	10.125110
1	1	12	5.809482	5.809482
1	1	13	1.793749	1.793749
1	1	14	3.973821	3.973821
1	1	15	9.419789	9.419789
1	1	16	3.593218	3.593218
1	1	17	4.865403	4.865403
1	1	18	5.339608	5.339608
2	1	1	0.595551	0.595551
2	1	2	1.061290	1.061290
2	1	3	1.670497	1.670497
2	1	4	0.487214	0.487214
2	1	5	1.077808	1.077808
2	1	6	1.276282	1.276282
2	1	7	2.259812	2.259812
2	1	8	4.268222	4.268222
2	1	9	0.127853	0.127853
2	1	10	7.727898	7.727898
2	1	11	5.330370	5.330370
2	1	12	1.518587	1.518587
2	1	13	0.522981	0.522981
2	1	14	2.608775	2.608775
2	1	15	1.252060	1.252060
2	1	16	5.591034	5.591034
2	1	17	2.739629	2.739629
2	1	18	4.054273	4.054273
3	1	1	0.897615	0.897615
3	1	2	0.434764	0.434764
3	1	3	0.132329	0.132329
3	1	4	0.997868	0.997868
3	1	5	0.279122	0.279122
3	1	6	1.081744	1.081744
3	1	7	0.092292	0.092292
3	1	8	3.498716	3.498716
3	1	9	3.623442	3.623442
3	1	10	13.148232	13.148232
3	1	11	2.415305	2.415305
3	1	12	2.404886	2.404886
3	1	13	2.113917	2.113917
3	1	14	2.273971	2.273971
3	1	15	2.535110	2.535110
3	1	16	1.270710	1.270710
3	1	17	1.239512	1.239512
3	1	18	1.863991	1.863991
4	1	1	1.740081	1.740081
4	1	2	2.569804	2.569804
4	1	3	1.634981	1.634981
4	1	4	1.561739	1.561739
4	1	5	1.592448	1.592448
4	1	6	3.318729	3.318729
4	1	7	0.983503	0.983503
4	1	8	2.518779	2.518779
4	1	9	1.018995	1.018995
4	1	10	1.423588	1.423588
4	1	11	2.275710	2.275710
4	1	12	2.671919	2.671919
4	1	13	4.013134	4.013134
4	1	14	3.336033	3.336033
4	1	15	0.842220	0.842220
4	1	16	1.549319	1.549319
4	1	17	2.203140	2.203140
4	1	18	0.579971	0.579971
5	1	1	1.196956	1.196956
5	1	2	1.389308	1.389308
5	1	3	1.315793	1.315793
5	1	4	1.163792	1.163792
5	1	5	1.300884	1.300884
5	1	6	1.070128	1.070128
5	1	7	2.349584	2.349584
5	1	8	0.468039	0.468039
5	1	9	2.255631	2.255631
5	1	10	2.992081	2.992081
5	1	11	0.924191	0.924191
5	1	12	1.156196	1.156196
5	1	13	1.105674	1.105674
5	1	14	2.247566	2.247566
5	1	15	2.102415	2.102415
5	1	16	0.691887	0.691887
5	1	17	0.746295	0.746295
5	1	18	2.598893	2.598893
6	1	1	0.595114	0.595114
6	1	2	0.698975	0.698975
6	1	3	0.492580	0.492580
6	1	4	0.511646	0.511646
6	1	5	0.482991	0.482991
6	1	6	0.171348	0.171348
6	1	7	1.253121	1.253121
6	1	8	1.842087	1.842087
6	1	9	1.865453	1.865453
6	1	10	4.393293	4.393293
6	1	11	1.723312	1.723312
6	1	12	2.319716	2.319716
6	1	13	0.965347	0.965347
6	1	14	1.732747	1.732747
6	1	15	0.703092	0.703092
6	1	16	1.018248	1.018248
6	1	17	0.695335	0.695335
6	1	18	1.599641	1.599641
7	1	1	1.288438	1.288438
7	1	2	1.451535	1.451535
7	1	3	1.148989	1.148989
7	1	4	1.309778	1.309778
7	1	5	1.010917	1.010917
7	1	6	1.920547	1.920547
7	1	7	0.629049	0.629049
7	1	8	1.884512	1.884512
7	1	9	4.246938	4.246938
7	1	10	1.615143	1.615143
7	1	11	0.390445	0.390445
7	1	12	0.607311	0.607311
7	1	13	1.145186	1.145186
7	1	14	2.247012	2.247012
7	1	15	2.184126	2.184126
7	1	16	0.591057	0.591057
7	1	17	0.390303	0.390303
7	1	18	1.408881	1.408881
8	1	1	1.031507	1.031507
8	1	2	1.704897	1.704897
8	1	3	1.195560	1.195560
8	1	4	1.828153	1.828153
8	1	5	1.307054	1.307054
8	1	6	0.940956	0.940956
8	1	7	0.644645	0.644645
8	1	8	1.256582	1.256582
8	1	9	1.604823	1.604823
8	1	10	1.417581	1.417581
8	1	11	1.184090	1.184090
8	1	12	1.053475	1.053475
8	1	13	2.613122	2.613122
8	1	14	3.993139	3.993139
8	1	15	0.910018	0.910018
8	1	16	1.458758	1.458758
8	1	17	0.580594	0.580594
8	1	18	3.807889	3.807889
9	1	1	0.228268	0.228268
9	1	2	0.074956	0.074956
9	1	3	0.361640	0.361640
9	1	4	0.496640	0.496640
9	1	5	0.317673	0.317673
9	1	6	0.392507	0.392507
9	1	7	0.571947	0.571947
9	1	8	0.491317	0.491317
9	1	9	1.150261	1.150261
9	1	10	1.956200	1.956200
9	1	11	0.612060	0.612060
9	1	12	1.291524	1.291524
9	1	13	1.678561	1.678561
9	1	14	1.446410	1.446410
9	1	15	0.362338	0.362338
9	1	16	0.587126	0.587126
9	1	17	0.237898	0.237898
9	1	18	1.253616	1.253616
